# Ca = 55.7				
# De = 2.4				
# vol_rat = 0.81				
# strain_rate = 2.28				
# Note: time is non-dimensionalized by strain rate				
# Note: length is non-dimensionalized by initial length				
time	Ca_x	D	L_x	L_y
0.7524	11.26762	0.2183908046	0	0
1.5048	22.0692998	0.2	-0.03773584906	0
2.2572	31.95836682	0.1981776765	-0.007547169811	0.03529411765
3.0096	40.52588697	0.2108626198	0.02156334232	0.03781512605
3.762	47.41757497	0.1960049938	0.004192872117	0.0522875817
4.5144	52.34844475	0.1736972705	-0.008385744235	0.08823529412
5.2668	55.1145943	0.1548946716	-0.02306079665	0.114379085
6.0192	55.60163742	0.1031941032	-0.05870020964	0.1928104575
6.7716	53.78943384	0.0495049505	-0.1111111111	0.2549019608
7.524	49.75292204	-0.01485148515	-0.1656184486	0.339869281
8.2764	43.65902044	-0.08074534161	-0.2243186583	0.4215686275
9.0288	35.7597249	-0.144963145	-0.2704402516	0.522875817
9.7812	26.3816882	-0.2170731707	-0.3270440252	0.6307189542
10.5336	15.91271223	-0.2733727811	-0.35639413	0.7581699346
11.286	4.785711549	-0.3317811409	-0.3983228512	0.8692810458
12.0384	-6.539188543	-0.372279496	-0.4255765199	0.9575163399
12.7908	-17.59367919	-0.3975363942	-0.4360587002	1.039215686
13.5432	-27.92063355	-0.4147414741	-0.4423480084	1.10130719
14.2956	-37.09300996	-0.4266958425	-0.4507337526	1.130718954
15.048	-44.73151102	-0.4248366013	-0.4465408805	1.137254902
15.8004	-50.52026836	-0.4314159292	-0.4612159329	1.114379085
16.5528	-54.21990448	-0.4112458655	-0.4402515723	1.091503268
17.3052	-55.67743151	-0.356424581	-0.3962264151	0.9836601307
18.0576	-54.83257758	-0.277027027	-0.3270440252	0.8529411765
18.81	-51.72027921	-0.184180791	-0.2431865828	0.7124183007
19.5624	-46.46923661	-0.07570621469	-0.142557652	0.5555555556
20.3148	-39.29659161	0.02247191011	-0.04612159329	0.4215686275
21.0672	-30.49894845	0.1387347392	0.07547169811	0.2679738562
21.8196	-20.4401085	0.2185145318	0.1865828092	0.1862745098
22.572	-9.536026312	0.3012552301	0.3039832285	0.09150326797
23.3244	1.762390971	0.3817809621	0.4150943396	-0.01307189542
24.0768	12.98792962	0.4265593561	0.4863731656	-0.06862745098
24.8292	23.67638958	0.4644268775	0.5534591195	-0.114379085
25.5816	33.38578015	0.4683544304	0.5807127883	-0.1078431373
26.334	41.71459727	0.46692607	0.5807127883	-0.1045751634
27.0864	48.3184265	0.4573346117	0.5932914046	-0.07516339869
27.8388	52.92418539	0.416988417	0.5387840671	-0.01307189542
28.5912	55.34141595	0.3702623907	0.4779874214	0.05882352941
29.3436	55.47016051	0.3089108911	0.3857442348	0.1405228758
30.096	53.30509521	0.2214357937	0.2662473795	0.2581699346
30.8484	48.93575015	0.1266464032	0.1656184486	0.408496732
31.6008	42.54280708	0.01018329939	0.03983228512	0.5882352941
32.3532	34.39062788	-0.0986775178	-0.071278826	0.7647058824
33.1056	24.81632262	-0.2016048144	-0.1656184486	0.9575163399
33.858	14.21580931	-0.2972972973	-0.2641509434	1.117647059
34.6104	3.027441856	-0.3697813121	-0.3354297694	1.251633987
35.3628	-8.286116798	-0.4297029703	-0.3962264151	1.359477124
36.1152	-19.25702679	-0.4641148325	-0.4129979036	1.5
36.8676	-29.43161751	-0.4828897338	-0.429769392	1.549019608
37.62	-38.38914785	-0.4853358562	-0.429769392	1.565359477
38.3724	-45.75920477	-0.4811320755	-0.4234800839	1.565359477
39.1248	-51.23702063	-0.4627151052	-0.4109014675	1.5
39.8772	-54.59607604	-0.4199806014	-0.3731656184	1.392156863
40.6296	-55.69746685	-0.3575638507	-0.3144654088	1.258169935
41.382	-54.4956482	-0.2755905512	-0.2285115304	1.117647059
42.1344	-51.04031787	-0.1684729064	-0.1153039832	0.9379084967
42.8868	-45.47436115	-0.04809619238	-0.004192872117	0.7091503268
43.6392	-38.02794227	0.06838453915	0.1299790356	0.5359477124
44.3916	-29.0089866	0.1651829871	0.2348008386	0.3790849673
45.144	-18.79044724	0.2718446602	0.3731656184	0.2254901961
45.8964	-7.794882671	0.355513308	0.4947589099	0.1078431373
46.6488	3.523016978	0.4445768772	0.6334231806	-0.02100840336
47.4012	14.69523234	0.5065789474	0.7283018868	-0.1176470588
48.1536	25.25976838	0.488	0.7547169811	-0.05882352941
48.906	34.77975895	0.512195122	0.7547169811	-0.1176470588